# FieldId Time[UTC] deltaT[sec] RA Dec
14556 2021-09-01T23:20:37.117 112.625 256.02484 46.13826
14714 2021-09-01T23:22:29.742 130.37 254.52228 47.71211
14866 2021-09-01T23:24:40.112 341.814 252.23683 49.28596
15295 2021-09-01T23:30:21.926 138.065 247.00731 54.00752
15427 2021-09-01T23:32:39.991 140.899 244.09091 55.58138
15555 2021-09-01T23:35:00.890 143.83 240.94489 57.15523
15677 2021-09-01T23:37:24.720 146.806 237.54099 58.72908
15795 2021-09-01T23:39:51.526 177.835 233.84616 60.30293
15906 2021-09-01T23:42:49.361 2051.867 228.64865 61.87680
15769 2021-09-02T00:17:01.228 174.025 153.84616 60.30293
15647 2021-09-02T00:19:55.253 100.655 149.01639 58.72908
15522 2021-09-02T00:21:35.908 166.915 147.40158 57.15523
15390 2021-09-02T00:24:22.823 258.702 143.18181 55.58138
15113 2021-09-02T00:28:41.525 345.615 138.16902 52.43367
14661 2021-09-02T00:34:27.140 129.173 132.99362 47.71211
14500 2021-09-02T00:36:36.313 220.89 130.80745 46.13826
14166 2021-09-02T00:40:17.203 125.46 128.11766 42.99055
13993 2021-09-02T00:42:22.663 322.197 126.20689 41.41670
13449 2021-09-02T00:47:44.860 106.12 122.90322 36.69514
13261 2021-09-02T00:49:30.980 120.966 121.90476 35.12129
13068 2021-09-02T00:51:31.946 105.282 120.31087 33.54744
12873 2021-09-02T00:53:17.228 105.021 119.38775 31.97359
12674 2021-09-02T00:55:02.249 104.749 118.49246 30.39973
12473 2021-09-02T00:56:46.998 104.471 117.62376 28.82588
12268 2021-09-02T00:58:31.469 104.19 116.78049 27.25203
12061 2021-09-02T01:00:15.659 103.905 115.96154 25.67818
11850 2021-09-02T01:01:59.564 221.787 115.16588 24.10432
11422 2021-09-02T01:05:41.351 90.558 113.02325 20.95662
11206 2021-09-02T01:07:11.909 220.531 112.81107 19.38277
10766 2021-09-02T01:10:52.440 2677.505 110.76923 16.23506
04925 2021-09-02T01:55:29.945 115.13 92.57143 -24.68511
04716 2021-09-02T01:57:25.075 305.464 91.30434 -26.25896
04110 2021-09-02T02:02:30.539 116.934 89.09091 -30.98052
03913 2021-09-02T02:04:27.473 117.634 87.69231 -32.55437
03720 2021-09-02T02:06:25.107 107.385 86.25000 -34.12823
03530 2021-09-02T02:08:12.492 107.947 85.21276 -35.70208
03345 2021-09-02T02:10:00.439 437.678 84.13043 -37.27593
02640 2021-09-02T02:17:18.117 110.945 79.28571 -43.57134
02474 2021-09-02T02:19:09.062 111.565 77.92683 -45.14520
02313 2021-09-02T02:21:00.627 373.816 76.50000 -46.71905
01856 2021-09-02T02:27:14.443 103.656 70.27397 -51.44061
01714 2021-09-02T02:28:58.099 179.132 68.93616 -53.01446
16091 2021-09-02T02:31:57.231 83.385 65.00175 -54.93781
01444 2021-09-02T02:33:20.616 285.627 63.69231 -56.16217
01195 2021-09-02T02:38:06.243 184.838 57.00000 -59.30987
01077 2021-09-02T02:41:11.081 180.802 51.65217 -60.88372
00966 2021-09-02T02:44:11.883 188.276 46.23853 -62.45758
00860 2021-09-02T02:47:20.159 203.67 40.19418 -64.03143
00760 2021-09-02T02:50:43.829 87.683 33.06122 -65.60529
00759 2021-09-02T02:52:11.512 722.094 29.38775 -65.60529
00751 2021-09-02T03:04:13.606 325.747 0.00000 -65.60529
00948 2021-09-02T03:09:39.353 225.279 347.76697 -64.03143
01055 2021-09-02T03:13:24.632 138.704 340.18347 -62.45758
01168 2021-09-02T03:15:43.336 348.517 336.52173 -60.88372
01409 2021-09-02T03:21:31.853 133.439 326.88000 -57.73602
01538 2021-09-02T03:23:45.292 124.392 324.00000 -56.16217
01672 2021-09-02T03:25:49.684 128.792 321.61761 -54.58831
01812 2021-09-02T03:27:58.476 126.762 319.14893 -53.01446
01956 2021-09-02T03:30:05.238 451.501 316.84930 -51.44061
02580 2021-09-02T03:37:36.739 127.271 310.60977 -45.14520
02747 2021-09-02T03:39:44.010 118.444 308.57141 -43.57134
02918 2021-09-02T03:41:42.454 5025.555 306.93640 -41.99749
13147 2021-09-02T05:05:28.009 106.74 267.66840 33.54744
13337 2021-09-02T05:07:14.749 95.289 266.66666 35.12129
