FieldId date-obs deltaT[sec] RA Dec
15014 59458.800842662036 135.208 249.79591 50.85982
15156 59458.80240756944 137.884 247.18311 52.43367
15294 59458.80400344908 140.693 244.37956 54.00752
15426 59458.805631840274 143.612 241.36363 55.58138
15554 59458.8072940162 146.605 238.11024 57.15523
15676 59458.808990833335 149.604 234.59016 58.72908
15794 59458.81072236111 182.035 230.76924 60.30293
15905 59458.81282924768 1528.941 225.40541 61.8768
4924 59458.830525324076 229.375 90.85715 -24.68511
15885 59458.833180127316 76.415 160.54054 61.8768
4308 59458.834064560186 117.221 88.65672 -29.40667
4109 59458.83542128472 295.342 87.27273 -30.98052
15522 59458.83883959491 265.335 147.40158 57.15523
15255 59458.841910601855 160.59 141.89781 54.00752
15113 59458.84376928241 286.693 138.16902 52.43367
2473 59458.84708748842 58.603 75.73171 -45.1452
14661 59458.84776576389 54.166 132.99362 47.71211
2312 59458.848392685184 75.205 74.25 -46.71905
14500 59458.84926311343 26.702 130.80745 46.13826
2155 59458.84957216435 194.022 73.16129 -48.2929
14166 59458.85181778935 125.703 128.11766 42.99055
13993 59458.853272685184 63.024 126.20689 41.4167
1713 59458.85400212963 258.968 66.38298 -53.01446
13449 59458.85699944445 8.825 122.90322 36.69514
1443 59458.85710158565 97.23 60.92308 -56.16217
13261 59458.85822693287 121.239 121.90476 35.12129
13068 59458.859630162035 72.707 120.31087 33.54744
1194 59458.86047167824 32.521 54.0 -59.30987
12873 59458.8608480787 104.972 119.38775 31.97359
12674 59458.86206303241 51.128 118.49246 30.39973
1076 59458.862654791665 53.577 48.52174 -60.88372
12473 59458.86327489583 104.43 117.62376 28.82588
12268 59458.86448357639 26.951 116.78049 27.25203
965 59458.86479550926 77.201 42.93578 -62.45758
12061 59458.865689039354 103.868 115.96154 25.67818
11850 59458.86689121528 11.307 115.16588 24.10432
859 59458.86702208333 210.747 36.69903 -64.03143
11422 59458.869461284725 84.691 113.02325 20.95662
758 59458.87044150463 89.762 25.71428 -65.60529
757 59458.87148041667 90.512 22.04082 -65.60529
756 59458.87252800926 46.073 18.36735 -65.60529
10766 59458.87306126158 44.88 110.76923 16.23506
755 59458.87358070602 91.083 14.69388 -65.60529
754 59458.874634907406 90.898 11.02041 -65.60529
753 59458.87568696759 90.401 7.34694 -65.60529
752 59458.876733275465 89.596 3.67347 -65.60529
751 59458.877770266205 240.386 0.0 -65.60529
949 59458.880552511575 230.237 351.26212 -64.03143
1056 59458.88321729167 218.939 343.48624 -62.45758
1168 59458.88575130787 140.407 336.52173 -60.88372
1287 59458.88737638889 595.04 333.0 -59.30987
1812 59458.89426342593 705.319 319.14893 -53.01446
2747 59458.90242684028 371.193 308.57141 -43.57134
4511 59458.90672305555 116.516 90.0 -27.83282
4308 59458.90807162037 307.7 88.65672 -29.40667
3720 59458.91163296296 107.385 86.25 -34.12823
3530 59458.91287584491 107.949 85.21276 -35.70208
3345 59458.91412525463 119.628 84.13043 -37.27593
3162 59458.91550983796 109.192 82.54144 -38.84978
2984 59458.91677363426 109.79 81.35593 -40.42364
2809 59458.91804435185 478.215 80.1156 -41.99749
2155 59458.92357924768 102.466 73.16129 -48.2929
2004 59458.92476519676 114.717 72.0 -49.86675
1856 59458.926092939815 271.372 70.27397 -51.44061
1575 59458.92923381944 11.418 64.85294 -54.58831
16091 59458.929365972224 259.445 65.00175 -54.93781
1316 59458.93236880787 294.391 59.04 -57.73602
1077 59458.93577611111 180.789 51.65217 -60.88372
966 59458.93786857639 188.361 46.23853 -62.45758
860 59458.94004868055 84.731 40.19418 -64.03143
859 59458.94102936343 206.607 36.69903 -64.03143
759 59458.943420648146 88.788 29.38775 -65.60529
758 59458.94444828704 89.824 25.71428 -65.60529
757 59458.945487916666 453.84 22.04082 -65.60529
752 59458.95074069445 89.522 3.67347 -65.60529
751 59458.951776828704 325.828 0.0 -65.60529
948 59458.95554798611 225.385 347.76697 -64.03143
1055 59458.958156608795 138.413 340.18347 -62.45758
1168 59458.95975861111 348.905 336.52173 -60.88372
1409 59458.96379686343 90.062 326.88 -57.73602
13522 59458.96483924769 43.326 264.19354 36.69514
1538 59458.96534070602 65.089 324.0 -56.16217
13705 59458.96609405093 59.198 263.07693 38.269
1672 59458.96677921296 49.803 321.61761 -54.58831
13883 59458.967355636574 78.995 261.9101 39.84285
1812 59458.968269930556 30.604 319.14893 -53.01446
14058 59458.96862414352 96.189 260.68964 41.4167
1956 59458.96973744213 124.837 316.8493 -51.44061
14395 59458.97118231482 7.308 258.0723 44.56441
2105 59458.971266898145 119.657 314.40002 -49.86675
14556 59458.97265181713 112.625 256.02484 46.13826
14714 59458.973955347225 130.37 254.52228 47.71211
14866 59458.97546425926 83.815 252.23683 49.28596
2747 59458.97643434028 118.555 308.57141 -43.57134
2918 59458.97780650463 124.553 306.9364 -41.99749
3094 59458.979248090276 14.891 305.08475 -40.42364
15295 59458.97942043981 138.065 247.00731 54.00752
15427 59458.98101841435 140.899 244.09091 55.58138
15555 59458.98264918981 143.83 240.94489 57.15523
15677 59458.98431388889 146.806 237.54099 58.72908
15795 59458.98601303241 177.835 233.84616 60.30293
15906 59458.98807130787 2051.867 228.64865 61.8768
15769 59459.011819768515 174.025 153.84616 60.30293
15647 59459.01383394676 100.655 149.01639 58.72908
15522 59459.014998935185 166.915 147.40158 57.15523
15390 59459.01693082176 258.702 143.18181 55.58138
15113 59459.01992505787 345.615 138.16902 52.43367
14661 59459.02392523148 129.173 132.99362 47.71211
14500 59459.02542028935 220.89 130.80745 46.13826
14166 59459.02797688657 125.46 128.11766 42.99055
13993 59459.02942896991 322.197 126.20689 41.4167
13449 59459.033158101854 106.12 122.90322 36.69514
13261 59459.034386342595 41.931 121.90476 35.12129
12954 59459.034871655094 79.035 268.16327 31.97359
13068 59459.03578641204 105.282 120.31087 33.54744
12873 59459.0370049537 105.021 119.38775 31.97359
12674 59459.03822047454 54.076 118.49246 30.39973
13522 59459.03884635417 50.673 264.19354 36.69514
12473 59459.039432847225 57.744 117.62376 28.82588
13705 59459.04010118056 46.727 263.07693 38.269
12268 59459.040642002314 62.274 116.78049 27.25203
13883 59459.041362766206 41.916 261.9101 39.84285
12061 59459.04184790509 67.681 115.96154 25.67818
14058 59459.04263125 36.224 260.68964 41.4167
11850 59459.04305050926 184.794 115.16588 24.10432
14395 59459.0451893287 36.993 258.0723 44.56441
11422 59459.045617488424 89.995 113.02325 20.95662
14556 59459.04665909722 0.563 256.02484 46.13826
11206 59459.04666561342 112.055 112.81107 19.38277
14714 59459.0479625463 108.476 254.52228 47.71211
10766 59459.04921805555 228.288 110.76923 16.23506
15157 59459.05186027778 135.375 249.71832 52.43367
15295 59459.05342711806 138.081 247.00731 54.00752
15427 59459.055025277776 140.908 244.09091 55.58138
15555 59459.05665615741 143.829 240.94489 57.15523
15677 59459.05832084491 146.789 237.54099 58.72908
15795 59459.060019791665 177.853 233.84616 60.30293
15906 59459.06207827546 1566.382 228.64865 61.8768
4925 59459.08020769676 115.13 92.57143 -24.68511
4716 59459.08154021991 305.464 91.30434 -26.25896
4110 59459.08507568287 64.887 89.09091 -30.98052
15769 59459.085826689814 52.047 153.84616 60.30293
3913 59459.08642908565 117.634 87.69231 -32.55437
3720 59459.087790590274 4.26 86.25 -34.12823
15647 59459.08783989583 100.848 149.01639 58.72908
15522 59459.089007118055 2.277 147.40158 57.15523
3530 59459.08903347222 107.947 85.21276 -35.70208
3345 59459.09028285879 56.55 84.13043 -37.27593
15390 59459.09093737268 258.696 143.18181 55.58138
15113 59459.093931539355 96.801 138.16902 52.43367
14968 59459.09505192129 25.631 137.14285 50.85982
2640 59459.09534857639 110.945 79.28571 -43.57134
2474 59459.09663266204 111.565 77.92683 -45.1452
2313 59459.09792392361 0.79 76.5 -46.71905
14661 59459.09793306713 129.084 132.99362 47.71211
14500 59459.09942709491 220.949 130.80745 46.13826
14166 59459.101984375 22.993 128.11766 42.99055
1856 59459.102250497686 102.36 70.27397 -51.44061
13993 59459.103435219906 1.296 126.20689 41.4167
1714 59459.10345021991 179.132 68.93616 -53.01446
16091 59459.10552350694 19.098 65.00175 -54.93781
