# FieldId Time[UTC] deltaT[sec] RA Dec
03274 2021-09-02T11:31:51.468 4781.393 305.30386 -38.84978
13148 2021-09-02T12:51:32.861 105.846 269.53366 33.54744
13338 2021-09-02T12:53:18.707 755.776 268.57144 35.12129
14558 2021-09-02T13:05:54.483 110.212 260.49689 46.13826
14716 2021-09-02T13:07:44.695 126.088 259.10828 47.71211
14868 2021-09-02T13:09:50.783 128.232 256.97369 49.28596
15016 2021-09-02T13:11:59.015 471.796 254.69388 50.85982
15557 2021-09-02T13:19:50.811 279.407 246.61418 57.15523
15797 2021-09-02T13:24:30.218 169.337 240.00000 60.30293
15908 2021-09-02T13:27:19.555 2068.281 235.13515 61.87680
15884 2021-09-02T14:01:47.836 310.005 157.29730 61.87680
15647 2021-09-02T14:06:57.841 167.458 149.01639 58.72908
15521 2021-09-02T14:09:45.299 100.338 144.56694 57.15523
15390 2021-09-02T14:11:25.637 258.476 143.18181 55.58138
15113 2021-09-02T14:15:44.113 250.096 138.16902 52.43367
14816 2021-09-02T14:19:54.209 96.18 133.81578 49.28596
14661 2021-09-02T14:21:30.389 128.387 132.99362 47.71211
14500 2021-09-02T14:23:38.776 95.129 130.80745 46.13826
14336 2021-09-02T14:25:13.905 126.063 130.12048 44.56441
14166 2021-09-02T14:27:19.968 1484.497 128.11766 42.99055
11423 2021-09-02T14:52:04.465 91.63 114.69768 20.95662
11207 2021-09-02T14:53:36.095 220.466 114.47005 19.38277
10767 2021-09-02T14:57:16.561 2864.188 112.39819 16.23506
04513 2021-09-02T15:45:00.749 303.652 93.52941 -27.83282
03915 2021-09-02T15:50:04.401 115.596 91.38462 -32.55437
03722 2021-09-02T15:51:59.997 105.581 90.00000 -34.12823
03532 2021-09-02T15:53:45.578 106.07 89.04255 -35.70208
03347 2021-09-02T15:55:31.648 117.453 88.04348 -37.27593
03164 2021-09-02T15:57:29.101 107.184 86.51934 -38.84978
02986 2021-09-02T15:59:16.285 107.705 85.42373 -40.42364
02811 2021-09-02T16:01:03.990 97.085 84.27745 -41.99749
02642 2021-09-02T16:02:41.075 108.697 83.57143 -43.57134
02476 2021-09-02T16:04:29.772 109.246 82.31708 -45.14520
02315 2021-09-02T16:06:19.018 250.642 81.00000 -46.71905
02006 2021-09-02T16:10:29.660 112.039 76.80000 -49.86675
01858 2021-09-02T16:12:21.699 100.911 75.20548 -51.44061
01716 2021-09-02T16:14:02.610 27.173 74.04255 -53.01446
16062 2021-09-02T16:14:29.783 225.09 73.55625 -53.36105
01446 2021-09-02T16:18:14.873 274.584 69.23077 -56.16217
01197 2021-09-02T16:22:49.457 274.496 63.00000 -59.30987
00969 2021-09-02T16:27:23.953 175.239 56.14679 -62.45758
00863 2021-09-02T16:30:19.192 193.093 50.67961 -64.03143
00763 2021-09-02T16:33:32.285 276.333 44.08163 -65.60529
00667 2021-09-02T16:38:08.618 88.361 33.26087 -67.17914
00666 2021-09-02T16:39:36.979 632.684 29.34783 -67.17914
00659 2021-09-02T16:50:09.663 88.048 1.95652 -67.17914
00750 2021-09-02T16:51:37.711 237.029 358.04346 -67.17914
00846 2021-09-02T16:55:34.740 228.954 348.97958 -65.60529
00946 2021-09-02T16:59:23.694 140.163 340.77667 -64.03143
01054 2021-09-02T17:01:43.857 136.361 336.88074 -62.45758
01167 2021-09-02T17:04:00.218 787.756 333.39130 -60.88372
01956 2021-09-02T17:17:07.974 131.291 316.84930 -51.44061
